,1Y_Change(%),Volatility(%),AvgAnnualReturn(%)
count,499.0,499.0,499.0
mean,5.7746090721109296,32.90953062129582,7.184826347849416
std,35.89520099293184,11.867777265768176,31.107633644126487
min,-70.493607263438,7.263223999749209,-101.34068771075302
25%,-15.203975234463277,24.58873701567771,-11.796463506206045
50%,0.9073847769679536,30.053828846720926,4.888431241292485
75%,21.250824916727126,38.12587389868186,23.891064904068315
max,332.8337847045195,103.22369814511059,176.78101316720048
