Ticker,1Y_Change(%)
HOOD,332.8337847045195
PLTR,213.2605578127668
WDC,208.20347421646156
STX,171.3673936414612
APP,152.0423430934374
WBD,139.2742833524187
MU,111.02641472164795
LRCX,106.92856346763992
AVGO,95.35255332850372
TPR,95.16943287540664
