Ticker,1Y_Change(%)
LULU,-48.12876327824425
BAX,-48.97494100562912
ARE,-50.28373328600284
DOW,-51.11182330814131
MRNA,-51.61097749723078
DECK,-53.42010081452049
MOH,-56.433417023438594
IT,-58.12482617819579
TTD,-65.3663306808623
FI,-70.493607263438
